ཀླད་ཞོ་,ཀ་ལིའི་ནང་གི་ཀླད་པ་ཞོ་
ཀླུང་རྟ་,རླུང་རྟ་
ཀློང་ཐང་སྒྲོན་མ་ལྷ་ཁང་,ཀློང་ཐང་སྒྲོལ་མ་ལྷ་ཁང་ཁང་
ཀན་ཊ་ཀ་རི་,དེའི་འབྲས་བུ་སྨིན་ཚེ་དམར་པོ་བྱི་རུ་སྤུངས་པ་
ཀུན་,ཐམས་ཅད་ཀྱི་དོན་
ཀོར་,ཟླ་བ་ཉ་གང་ཀོར་མོ་རྔ་
ཀོར་མོ་,ཀོར་
ཀྲི་ཁ་,དབྱིབས་སྐྱ་ཀ་
ཀྲི་མི་,དབྱིབས་ངུར་བ་
ཀྲུ་ཀྲུ་,དབྱིབས་དང་མདོག་བྱ་ཕུག་རོན་
ཀཎྜ་ཀ་རི་,ཀཎྜ་ཀ་རི་དེ་
ཀཱུ་བ་རཿ་,ཤིང་རྟ་
ཀིང་ཤུ་ཀ་,ཀེང་ཤུ་ཀ་
ཀུ་རུ་ཀུལླེའི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ཀེ་རྩེ་,ཀེའུ་ཙེ་
ཀོ་ཙེ་,སྐོ་ཙེ་
ཀོར་མོ་,ཀོར་
ཀྭ་,ཀྱེ་
ཀྱེ་མ་,ཀྱེ་མ་མ་
ཀྱེ་རྡོ་རྗེ་,རྡོ་རྗེ་དེ་
ཀྱོ་ཏང་,ཀྱོ་བ་ཏང་
ཀྱོང་བུ་,ཀྱོང་པོ་
ཀྱོང་མོ་,ཀྱོང་པོ་
ཀྲད་འཁོར་,ཀྲད་ཀོར་
ཀྲིག་ཆགས་,ཀྲིག་ཅར་
ཀླུ་ཆེན་བརྒྱད་,གཡོན་པས་ཆུང་མ་རང་
ཀླུ་མཚོན་,ཀླུའི་མཚོན་ཆ་
ཀུན་གཞི་རྩ་རྒྱུད་,ཤིང་སྡོང་གི་རྩ་བ་
ཀྱེ་རྡོར་ལམ་དུས་ཀྱི་དབང་བསྡུས་པ་,ཐོག་མར་མཆོད་པ་དང་གསོལ་བ་གདབ་པ་སྔ་མ་
ཀུན་གཞི་རྒྱུ་རྒྱུད་ཀྱི་དོན་བདུན་,ཐབས་ཀྱི་རྐྱེན་དང་ཕྲད་ན་ལོ་མ་
ཀྱེ་རྡོར་དབང་གི་སྦྱིན་སྲེག་གི་ཐབ་,།ཐབ་ནང་གི་པདྨ་འདབ་མ་བརྒྱད་ཞི་བ་
ཀུརྨ་ཡི་འཁྲུལ་འཁོར་,འཁྲུལ་འཁོར་ཐམས་ཅད་དེ་
ཀྱེ་རྡོར་གཏོར་མ་མདུན་བསྐྱེད་དང་འབྲེལ་ནས་འབུལ་ཚུལ་གཉིས་,།སྤྱན་འདྲེན་རྒྱས་བཏབ་རྣམས་གོང་གི་འཇིག་རྟེན་པའི་སྐབས་
ཀྱེ་རྡོ་རྗེའི་སྲུང་འཁོར་དམོད་བཟློག་གི་དམིགས་རྣམ་,རྗེ་ས་ཆེན་གྱིས་བདག་ཉིད་ཀྱི་ཐུགས་ཀ་ནས་ཁྲོ་བོ་རང་
ཀོང་ཅོ་,ཀོང་ཇོ་
ཀོར་ཙེ་,ཀོར་ཚེ་
ཀྱལ་,ཀྱལ་ཀ་
ཀྱོ་རང་,ཀྱོ་
ཀླ་མ་མོ་,ཀླ་མ་
ཀློང་ཐང་སྒྲོན་མ་ལྷ་ཁང་,ཀློང་ཐང་སྒྲོལ་མ་ལྷ་ཁང་
ཀཀྞི་སྒོ་བཞི་,ཀརྞི་སྒོ་བཞི་
ཀ་ལིའི་ལྷ་ཐང་,རྨ་ཀ་ལིའི་ཐང་
ཀུནྡའི་རང་བཞིན་,མེ་ཏོག་ཀུནྡའི་མདོག་
ཀླུང་སྒོག་ཀེ་ཛི་,།ལོ་མ་སྒོག་སྐྱ་དག་
ཀྱེ་རྡོར་བསྐྱེད་རིམ་ལམ་གྱི་ཆོས་མཐུན་,དང་པོ་བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་པ་
ཀན་ཊ་ཀ་རི་,དེའི་འབྲས་བུ་སྨིན་ཚེ་དམར་པོ་བྱི་རུ་སྤུངས་པ་
ཀུན་,ཐམས་ཅད་ཀྱི་དོན་
ཀོར་,ཟླ་བ་ཉ་གང་ཀོར་མོ་རྔ་
ཀོར་མོ་,ཀོར་
ཀྲི་ཁ་,དབྱིབས་སྐྱ་ཀ་
ཀྲི་མི་,དབྱིབས་ངུར་བ་
ཀྲུ་ཀྲུ་,དབྱིབས་དང་མདོག་བྱ་ཕུག་རོན་
ཀ་བཀོལ་མ་,ཀ་ཁོལ་མ་
ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
ཀ་ཆ་,ཀ་ཅ་
ཀ་ནི་ཥཀ་,ཀ་ནི་ཀ་
ཀ་པེད་,ཀ་བེད་
ཀཱ་ཏྱཱ་ཡ་ན་,ཀ་ཏྱའི་བུ་
ཀག་,དུས་ངེས་ཅན་གྱི་བར་ཆད་ཀྱི་དོན་དུ་གོ་བའི་སྐག་
ཀརྞི་སྒོ་བཞི་,ཀཀྞི་སྒོ་བཞི་
ཀིང་ཤུ་ཀ་,ཀེང་ཤུ་ཀ་
ཀུ་མུ་ད་,ཀུ་མུད་
ཀུ་མུཏ་,ཀུ་མུད་
ཀུ་རུ་ཀུ་ལླེ་,ཀུ་རུ་ཀུ་ལེ་
ཀུ་ཤ་ལི་,ཀུ་སཱ་ལི་
ཀུན་བརྟགས་ཀྱི་མ་རིག་པ་,གྲུབ་མཐའ་ངན་པའི་ལྟ་བ་ཉོན་མོངས་པ་
ཀེ་རྩེ་,ཀེའུ་ཙེ་
ཀཻ་ལ་ཤ་,ཀེ་ལ་ཤ་
ཀེག་,དུས་ངེས་ཅན་གྱི་བར་ཆད་ཀྱི་དོན་དུ་གོ་བའི་སྐག་
ཀེའུ་རྩེ་,ཀེའུ་ཙེ་
ཀོ་,དགར་དང་བརྣན་པའི་ནི་སྒྲའི་འཇུག་ཚུལ་
ཀོ་ཀོ་,ཀོས་ཀོ་
ཀོ་སྐོ་,ཀོས་ཀོ་
ཀོ་ཅི་,ལྷག་བཅས་སྟེ་སོགས་ཀྱི་སྒྲའི་འཇུག་ཚུལ་
ཀོ་བྱིལ་,ཀོ་བྱི་ལ་
ཀོ་ཙེ་,སྐོ་ཙེ་
ཀོ་སག་,ཀོ་སེག་
ཀཽ་ཤི་ཧན་,གུ་ཤི་ཧན་
ཀོག་ཚེ་,ཀོག་ཙེ་
ཀོལ་མ་,བསྐོལ་མ་
ཀོས་སྐོ་,ཀོས་ཀོ་
ཀྭ་,རང་
ཀྱལ་རྟ་,ཀྱལ་ཏ་
ཀྱུ་རུ་ར་,སྐྱུ་རུ་ར་
ཀྱེ་མ་ཀྱེ་ཧུད་,ཀྱེ་མ་ཀྱི་ཧུད་
ཀྱེ་ཧུད་,ཀྱི་ཧུད་
ཀྱཻ་རྡོ་རྗེ་,ཀྱེ་རྡོ་རྗེ་
ཀྱོག་པ་,ཀྱོག་པོ་
ཀྱོང་བུ་,ཀྱོང་པོ་
ཀྱོང་མོ་,ཀྱོང་པོ་
ཀྲད་འཁོར་,ཀྲད་ཀོར་
ཀྲི་ཁ་,སྐྱ་ཀ་
ཀྲུ་ཀྲུ་,དབྱིབས་དང་མདོག་བྱ་ཕུག་རོན་
ཀྲུམས་,ཀྲུམ་
ཀླད་ཞོ་,ཀ་ལིའི་ནང་གི་ཀླད་པ་ཞོ་
ཀླུང་རྟ་,རླུང་རྟ་
ཀློང་ཐང་སྒྲོན་མ་ལྷ་ཁང་,ཀློང་ཐང་སྒྲོལ་མ་ལྷ་ཁང་
ཀུ་བ་,ལོ་མ་ལག་པའི་དབྱིབས་
ཀིམས་ཤིང་ཀོང་ཅོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
ཀོའུ་དི་ན་ཡ་,ཀུན་ཤེས་ཀོཨོནདི་?་ན-ཡའི་?་
ཀོཨོན་ནདི་ན་ཡ་,?་ཀུན་ཤེས་ཀོཨོནདི་?་ན-ཡའི་?་
ཀ་ཡེ་,ཀ་ཡེ་
ཀར་ཡོལ་,དཀར་ཡོལ་
ཀུ་མུད་,ཀུ་མུ་ད་
ཀོ་ཀོ་,ཀོས་ཀོ་
ཀོ་བྱིལ་,ཀོ་བྱི་ལ་
ཀོ་སྐོ་,ཀོས་ཀོ་
ཀྱ་ཀ་,སྐྱ་ཀ་
ཀྱུ་རུ་ར་,སྐྱུ་རུ་ར་
ཀྱེ་ཀ་,སྐྱ་ཀ་
ཀྲུང་ཀྲུང་,ཁྲུང་ཁྲུང་
ཀླལ་,གླལ་
ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
ཀ་ཆུ་,ཀ་ཇུ་
ཀ་བེད་,ཀ་པེད་
ཀ་འགོ་,ཀ་མགོ་
ཀམ་པ་,སྐམ་པ་
ཀར་བརྒྱུད་,ཀརྨ་བཀའ་བརྒྱུད་ཀྱི་མིང་
ཀར་ཡོལ་,དཀར་ཡོལ་
ཀརྣི་ཀ་,ཀརྞི་ཀ་ཞེས་
ཀི་ཀུ་,གི་གུ་
ཀུ་,ཀུང་ཀུ་མཾ་
ཀུག་,གུག་
ཀུག་ཀུག་,གུག་གུག་
ཀུངྐུ་མཾ་,ཀུང་ཀུ་མཾ་
ཀེའུ་རྩེ་,ཀེའུ་ཙེ་
ཀོ་ཀོ་,ཀོས་ཀོ་
ཀོ་བྱི་ལ་,ཀོ་བྱི་ལ་
ཀོ་སྐོ་,མ་ནེའི་དོན་དུ་འཇུག་པའི་ཀོས་ཀོ་
ཀོག་ཙེ་,ཀོག་རྩེ་
ཀོག་ཚེ་,ཀོག་རྩེ་
ཀོའུ་དི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི༌ནྱ་
ཀོལ་མ་,བསྐོལ་མ་
ཀོས་སྐོ་,ཀོས་ཀོ་
ཀྭ་ཡེ་,ཀ་ཡེ་
ཀྱ་ཀ་,སྐྱ་ཀ་
ཀྱིར་ཀྱིར་,ཀྱུར་ཀྱུར་
ཀྱུ་རུ་ར་,སྐྱུ་རུ་ར་
ཀྱེ་ཀ་,སྐྱ་ཀ་
ཀྱེ་མ་ཀྱེ་ཧུད་,ཀྱེ་མ་ཀྱི་ཧུད་
ཀྲུང་ཀྲུང་,ཁྲུང་ཁྲུང་
ཀྲུམས་,ཀྲུམ་
ཀླད་གཞུངས་,ཀླད་གཞུང་
ཀླུངས་,ཀླུང་
ཀློད་,གློད་
ཀཽཎ་ཎྜི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི་ནྱ་
ཀྲྀ་ཏ་ཡུ་གཾ་,ཀྲྀ་ཏ་ཡུ་གམ྄་
ཀྲོ་ཀྲི་ཏ་,ཡིད་ལ་ཉར་བའི་དོན་གྱི་གཅག་གི་ད་ལྟ་བ་
ཀྲོན་པའི་རུས་པ་,སྐྲོན་པའི་རུས་པ་
ཀརྐེ་ཏ་,ཀེ་ཏ་ཀ་ཞེས་པ་
ཀེམ་ཤང་ཁོང་ཅོ་,གྱིམ་ཤང་ཀོང་ཇོ་
ཀོང་ཅོང་,ཀོང་ཅོ་
ཀོང་བཅོ་,ཀོང་ཇོ་
ཀ་རས་ཁ་བླངས་,(བུངས་ནི་བོངས་
ཀར་ཡོལ་,དཀར་ཡོལ་
ཀུ་མུད་,ཀུ་མུ་ད་
ཀོ་ཀོ་,ཀོས་ཀོ་
ཀོ་སྐོ་,ཀོས་ཀོ་
ཀོ་བྱིལ་,ཀོ་བྱི་ལ་
ཀ་ཡེ་,ཀ་ཡེ་
ཀྱ་ཀ་,སྐྱ་ཀ་
ཀྱུ་རུ་ར་,སྐྱུ་རུ་ར་
ཀྱེ་ཀ་,སྐྱ་ཀ་
ཀྲུང་ཀྲུང་,ཁྲུང་ཁྲུང་
ཀླལ་,གླལ་
ཀིམས་ཤིང་ཀོང་ཅོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
ཀུན་བཏགས་,ཀུན་བརྟགས་
ཀོའུ་དི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི་ནྱ་
ཀཽཎ་ཎྜི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི་ནྱ་
ཁ་ཁ་,ཁག་ཁག་
ཁ་འཁྱེར་,ཁ་ཁྱེར་
ཁ་རྒས་པ་,ཁ་རྒན་པོ་
ཁ་རྒོད་,ཁ་རྒོད་པོ་
ཁ་སྟན་,ཁ་གདན་
ཁ་དྲོ་པོ་,ཁ་དྲོ་བ་
ཁ་འདོན་,ཁ་ཏོན་
ཁ་མོ་,ཁ་པོ་
ཁ་རྩང་,ཁར་རྩང་
ཁ་གཤགས་,ཁ་ཤགས་
ཁང་བྱེའུ་,ཁང་བྱིའུ་
ཁང་བྱེལ་,ཁང་བྱིའུ་
ཁང་ཚན་,ཁམས་ཚན་
ཁབ་བཙུན་མོ་,ཁབ་བཙུན་མ་
ཁམ་ཚོད་,ཁམ་ཚད་
ཁམས་རིས་,ཁམས་བྲིས་
ཁམས་ལོག་པ་,ཁམས་ལྡོག་པ་
ཁར་རྗེ་,ཁ་རྗེ་
ཁས་ཞན་པ་,ཁ་ཞན་པ་
ཁུ་འཕངས་,ཁུ་འབངས་
ཁུག་འཁྱོག་,ཁུག་ཀྱོག་
ཁུར་མང་,ཁུར་མོང་
ཁུར་ཚ་བ་,ཁུར་ཙ་བ་
ཁུར་ཚོས་,མཁུར་ཚོས་
ཁུལ་འཕྱིང་,ཁུལ་ཕྱིང་
ཁེ་རྐྱང་,ཁེར་རྐྱང་
ཁེ་སང་,ཁེ་བཟང་
ཁེད་,སྙན་ངག་གི་གབ་ཚིག་གི་རྒྱན་
ཁེབ་,ཁེབས་
ཁེར་རྒོད་,ཁེར་དགོད་
ཁོག་རྩེ་,ཀོག་ཙེ་
ཁོང་རལ་,ཁོང་རུལ་
ཁོང་སེང་,ཁོང་གསེང་
ཁོན་,འཁོན་
ཁོན་པ་,འཁོན་པ་
ཁྱབ་བརྡལ་,ཁྱབ་གདལ་
ཁྱི་སྤྱང་,སྤྱང་ཀི་
ཁྱིད་,མཁྱིད་
ཁྱིམ་བཅུ་གཉིས་,གླང་ལ་སོགས་པའི་གདོང་པའི་དབྱིབས་
ཁྱིམ་ཐབས་,ཁྱིམ་ཐབ་
ཁྱུང་སྡེར་དཀར་པོ་,ཤིང་སྨན་གྱི་ནང་ཚན་བྱ་ཕོའི་ཕྱི་སྡེར་
ཁྱུད་ཁོར་,ཁྱུད་འཁོར་
ཁྲ་མ་,ཁྱ་མ་
ཁྲི་གཉན་,ཁྲི་སྙན་
ཁྲི་མོན་,ཁྲི་མུན་
ཁྲི་ཤིང་,འཁྲི་ཤིང་
ཁྲི་སྲོང་ལྡེ་བརྩན་,ཁྲི་སྲོང་ལྡེ་བཙན་
ཁྲི་སྲོང་ལྡེའུ་བཙན་,ཁྲི་སྲོང་ལྡེ་བཙན་
ཁྲུ་སློག་པ་,ཕྲུ་སློག་པ་
ཁྲུས་མ་,ཁྲུད་མ་
ཁྲེལ་དགོད་,ཁྲེལ་རྒོད་
ཁྲེལ་བགད་,ཁྲེལ་རྒོད་
ཁྲོལ་ལོ་ལོ་,ཁྲོ་ལོ་ལོ་
ཁ་བྲི་,ཕྲི་
ཁ་འོག་,འོག་
ཁ་ཤ་,དབྱིབས་ཤ་བ་
ཁ་སངས་,ཁ་རྩང་
ཁ་སྐྱེངས་,སྐྱེངས་
ཁང་ཚ་,ཁམས་ཚན་
ཁྲེ་,སྙེ་མ་བྱི་ལའི་མཇུག་མའི་དབྱིབས་
ཁ་དྲོ་པོ་,ཁ་དྲོ་བ་
ཁ་རུ་ཚྭ་,རོ་སྔ་མ་
ཁ་རྒས་པ་,ཁ་རྒན་པོ་
ཁ་སང་,ཁ་རྩང་
ཁ་སངས་, ཁ་སང་
ཁ་སྟབས་,ཁ་ཐབས་
ཁབ་ཀྱི་ཁ་,དུང་ཁ་ཁབ་རྩེ་
ཁབ་ཅན་འཁོར་ལོ་བརྩེགས་པ་,རྩ་ལོ་པད་མ་བརྩེགས་པ་
ཁབ་སྤུ་ཅན་,སྤུ་རྩུབ་པ་ཁབ་
ཁྱི་གཟིག་,བཟོ་ལྟ་ཁྱི་
ཁྱོ་ཟན་བག་མ་,བུས་ཀྱང་ཕ་
ཁམས་འདུས་པ་གསུམ་གྱི་ས་མཚམས་,དཔེ་དགུན་གྱི་རླུང་པོ་ལག་ཆ་ཅན་
ཁམས་འདུས་པ་དང་པོའི་ས་མཚམས་,དཔེ་དགུན་གྱི་རླུང་པོ་ལག་ཆ་ཅན་
ཁ་མྱེད་,ཁ་མེད་
ཁ་འཛིནད་,ཁ་འཛིན་པ་
ཁ་སླེ་,ཁ་སླེ་ཡོན་
ཁྱད་ཞུགས་,ཁྱད་ཞུགས་པ་
ཁྱི་སྣ་,ཁྱིའི་སྣ་
ཁྱོག་བཤད་,འཁྱོག་བཤད་
ཁྲལད་སྩང་,ཁྲལ་སྩལ་
ཁྲི་འདུས་སྲོང་,ཁྲི་འདུ་སྲོང་
ཁྲིམས་ཀྱི་ལ་རྩེ་ནི་དགུང་པས་མཐོ་,ཁྲིམས་ལུགས་དེ་རི་བོ་མཐོན་པོ་ཞིག་
ཁྲིའུ་ཚེ་,ཁྲེའུ་ཚེ་
ཁྲུས་འཆལ་,ཁྲུས་ཆལ་
ཁ་ཟིན་,ཁ་འཛིན་
ཁ་ར་མཉྫ་རཱི་,བོང་བུའི་རྣ་བ་
ཁམས་དམར་ཆའི་དྭངས་མ་,དཔེར་ན་རྒོད་མ་ཁའི་མེ་
ཁྱད་དུ་བསད་,ཁྱད་གསོད་
ཁ་འབབ་ཆུ་བོ་བཞི་,ཆུ་མདོག་ཀྱང་དེ་
ཁ་སྐྱེངས་,སྐྱེངས་
ཁ་བྲི་,ཕྲི་
ཁ་འོག་,འོག་
ཁ་ཤ་,དབྱིབས་ཤ་བ་
ཁ་སངས་,ཁ་རྩང་
ཁང་ཚན་,ཁམས་ཚན་
ཁ་ཁ་,ཁག་ཁག་
ཁ་འཁྱེར་,ཁ་ཁྱེར་
ཁ་རྒས་པ་,ཁ་རྒན་པོ་
ཁ་རྒོད་,ཁ་རྒོད་པོ་
ཁ་སྟན་,ཁ་གདན་
ཁ་དྲོ་པོ་,ཁ་དྲོ་བ་
ཁ་འདོན་,ཁ་ཏོན་
ཁ་བྲག་,ཁ་དབྲག་
ཁ་མོ་,ཁ་པོ་
ཁ་རྩང་,ཁར་རྩང་
ཁ་གཤགས་,ཁ་ཤགས་
ཁང་བྱེའུ་,ཁང་བྱིའུ་
ཁང་བྱེལ་,ཁང་བྱིའུ་
ཁང་ཚན་,ཁམས་ཚན་
ཁབ་བཙུན་མོ་,ཁབ་བཙུན་མ་
ཁམ་ཚོད་,ཁམ་ཚད་
ཁམས་རིས་,ཁམས་བྲིས་
ཁམས་ལོག་པ་,ཁམས་ལྡོག་པ་
ཁར་རྗེ་,ཁ་རྗེ་
ཁས་ཞན་པ་,ཁ་ཞན་པ་
ཁུ་འཕངས་,ཁུ་འབངས་
ཁུ་ཡུག་,ཁུ་བྱུག་
ཁུག་འཁྱོག་,ཁུག་ཀྱོག་
ཁུག་སྣ་,ཁུག་རྣ་
ཁུར་མང་,ཁུར་མོང་
ཁུར་ཚ་བ་,ཁུར་ཙ་བ་
ཁུར་ཚོས་,མཁུར་ཚོས་
ཁུལ་འཕྱིང་,ཁུལ་ཕྱིང་
ཁེ་རྐྱང་,ཁེར་རྐྱང་
ཁེ་སང་,ཁེ་བཟང་
ཁེད་,སྙན་ངག་གི་གབ་ཚིག་གི་རྒྱན་
ཁེབ་,ཁེབས་
ཁེར་རྒོད་,ཁེར་དགོད་
ཁོག་རྩེ་,ཀོག་ཙེ་
ཁོང་རལ་,ཁོང་རུལ་
ཁོང་སེང་,ཁོང་གསེང་
ཁོན་,འཁོན་
ཁོན་པ་,འཁོན་པ་
ཁྱབ་བརྡལ་,ཁྱབ་གདལ་
ཁྱི་སྤྱང་,སྤྱང་ཀི་
ཁྱིད་,མཁྱིད་
ཁྱིམ་བཅུ་གཉིས་,གླང་ལ་སོགས་པའི་གདོང་པའི་དབྱིབས་
ཁྱིམ་ཐབས་,ཁྱིམ་ཐབ་
ཁྱུང་སྡེར་དཀར་པོ་,ཤིང་སྨན་གྱི་ནང་ཚན་བྱ་ཕོའི་ཕྱི་སྡེར་
ཁྱུད་ཁོར་,ཁྱུད་འཁོར་
ཁྲ་མ་,ཁྱ་མ་
ཁྲི་གཉན་,ཁྲི་སྙན་
ཁྲི་མོན་,ཁྲི་མུན་
ཁྲི་ཤིང་,འཁྲི་ཤིང་
ཁྲི་སྲོང་ལྡེ་བརྩན་,ཁྲི་སྲོང་ལྡེ་བཙན་
ཁྲི་སྲོང་ལྡེའུ་བཙན་,ཁྲི་སྲོང་ལྡེ་བཙན་
ཁྲུ་སློག་པ་,ཕྲུ་སློག་པ་
ཁྲུས་མ་,ཁྲུད་མ་
ཁྲེལ་དགོད་,ཁྲེལ་རྒོད་
ཁྲེལ་བགད་,ཁྲེལ་རྒོད་
ཁྲོལ་ལོ་ལོ་,ཁྲོ་ལོ་ལོ་
ཁབ་འཛེར་,རྣམ་པ་ཁབ་
ཁམས་དཀར་ས་བོན་,འགུལ་བསྐྱོད་བྱེད་ནུས་ཤིང་ཁམས་དམར་
ཁེམ་ཊམ་,དབྱིབས་ཁེམ་བུ་
ཁེམ་བུ། ཁ་གཟར་,ཟ་མ་ཟ་བྱེད་ཀྱི་ཡོ་བྱད་ཆུང་ངུ་དབྱིབས་གཟར་བུ་
ཁུ་བྱུག་རྫི་ཐོག་,རྩ་བ་སྙི་མོ་ཚིགས་མང་སར་འབྱར་འབུ་རྟ་བླའི་དབྱིབས་
ཁོལ་བུ་,དུམ་བུ་
ཁྲ་ལམ་,གཞུང་ལམ་དུ་རྐྱང་ཁྲའི་རི་མོ་
ཁ་ཐེག་,ཁག་ཐེག་
ཁ་དབྲག་,ཁ་བྲག་
ཁ་བྲ་,ཁ་བྲག་
ཁ་མདོག་,ཁ་དོག་
ཁན་ད་,ཁན་ཊ་ཞེས་པ་
ཁར་བ་,འཁར་བ་
ཁུ་འབངས་,ཁུ་འཕངས་
ཁུན་,འཁུན་
ཁུམས་,འཁུམས་
ཁོན་,འཁོན་
ཁྱགས་,འཁྱགས་
ཁྱིད་,མཁྱིད་
ཁྱོག་པོ་,འཁྱོག་པོ་
ཁྲང་,མཁྲང་
ཁྲིལ་,འཁྲིལ་
ཁ་ཁེངས་,ཕོ་ཟོག་གི་ལོ་གྲངས་ལ་འཇུག་པའི་ཁ་གང་
ཁ་གཤགས་,ཁ་ཤགས་
ཁ་ཆེ་གུར་ཀུམ་,ཁ་ཆེ་གུར་གུམ་
ཁ་ཐེག་,ཁག་ཐེག་
ཁ་དྲོག་,ཁ་གྲོག་
ཁ་པོ་,ཁ་བོ་
ཁ་བབས་,ཁ་བབ་
ཁ་བྲ་,ཁ་དབྲག་
ཁ་བྲག་,ཁ་དབྲག་
ཁ་འཁྱེར་, ཁ་ཁྱེར་
ཁ་ཤྭ་,རི་དྭགས་ཁ་ཤ་
ཁ་སརྤ་ཎི་,ཁ་སརྤཱ་ཎི་
ཁ་སརྤ་ཎི་འཇིགས་པ་བརྒྱད་སྐྱོབ་,ཁ་སརྤཱ་ཎི་འཇིགས་པ་བརྒྱད་སྐྱོབ་
ཁ་སེང་,ཁ་སང་
ཁང་བྱིའུ་,ཁང་བྱེའུ་
ཁང་བྱེལ་,ཁང་བྱེའུ་
ཁམས་སྟོད་རྒྱལ་མོའི་དངུལ་ཆུ་,འདི་
ཁར་བ་,འཁར་བ་
ཁར་རྗེ་,ཁ་རྗེ་
ཁར་རྩང་,དེ་རིང་གི་སྔ་ཉིན་ཏེ་ཁ་སང་
ཁས་ཆེ་,ཁས་འཆེ་བ་
ཁི་འུ་,ཁུ་རྩིད་ཡ་གྱལ་ཁུ་ལུ་
ཁིའུ་,ཁུ་རྩིད་གཉིས་ཀྱི་ཡ་གྱལ་ཁུ་ལུ་
ཁུ་འབངས་,ཁུ་འཕངས་
ཁུག་སྣ་,ཁུག་རྣ་
ཁུགས་པ་,ཁུག་པ་
ཁུང་པོ་,ཁུང་བུ་
ཁུན་,འཁུན་
ཁུམས་,འཁུམས་
ཁུར་ཚ་,ཁུར་ཙ་
ཁུར་ཚ་བ་,ཁུར་ཙ་བ་
ཁུར་ཚོས་,མཁུར་ཚོས་
ཁུལ་འཕྱིང་,ཁུལ་ཕྱིང་
ཁེ་རྐྱང་,ཁེར་རྐྱང་
ཁེ་སང་,ཁེ་བཟང་
ཁེར་རྒོད་,ཁེར་དགོད་
ཁོ་ར་ཁོར་ཟུག་,ཁོ་ར་ཁོར་ཡུག་
ཁོག་རྩེ་,ཀོག་ཙེ་
